,ccode,pcode,year,cgdp_c2000,pgdp_c2000
3962,ARE,FIN,1993,48500000000.0,88500000000.0
3963,ARE,FIN,1999,62600000000.0,114000000000.0
3964,ARE,FIN,2000,70300000000.0,120000000000.0
3965,ARE,FIN,2001,72700000000.0,121000000000.0
4012,ARE,FIN,1985,42300000000.0,85300000000.0
4082,ARE,FJI,2001,72700000000.0,1700000000.0
4083,ARE,FJI,2000,70300000000.0,1650000000.0
4084,ARE,FRA,1991,47600000000.0,1100000000000.0
4085,ARE,FRA,1992,48900000000.0,1120000000000.0
4086,ARE,FRA,1993,48500000000.0,1110000000000.0
4087,ARE,FRA,1999,62600000000.0,1260000000000.0
4088,ARE,FRA,2000,70300000000.0,1310000000000.0
4089,ARE,FRA,2001,72700000000.0,1340000000000.0
4153,ARE,FRA,1984,45300000000.0,913000000000.0
4154,ARE,FRA,1985,42300000000.0,926000000000.0
4155,ARE,FRA,1986,34400000000.0,948000000000.0
4156,ARE,FRA,1988,35600000000.0,1020000000000.0
4157,ARE,FRA,1989,40400000000.0,1060000000000.0
4158,ARE,FRA,1990,47500000000.0,1090000000000.0
4246,ARE,GAB,1999,62600000000.0,4840000000.0
4247,ARE,GAB,2000,70300000000.0,4930000000.0
4248,ARE,GAB,2001,72700000000.0,5060000000.0
4307,ARE,GBR,1991,47600000000.0,1120000000000.0
4308,ARE,GBR,1992,48900000000.0,1120000000000.0
4309,ARE,GBR,1993,48500000000.0,1150000000000.0
4310,ARE,GBR,1999,62600000000.0,1390000000000.0
4311,ARE,GBR,2000,70300000000.0,1440000000000.0
4312,ARE,GBR,2001,72700000000.0,1470000000000.0
4376,ARE,GBR,1984,45300000000.0,934000000000.0
4377,ARE,GBR,1985,42300000000.0,967000000000.0
4378,ARE,GBR,1986,34400000000.0,1010000000000.0
4379,ARE,GBR,1988,35600000000.0,1100000000000.0
4380,ARE,GBR,1989,40400000000.0,1130000000000.0
4381,ARE,GBR,1990,47500000000.0,1140000000000.0
4469,ARE,GEO,1999,62600000000.0,2990000000.0
4470,ARE,GEO,2000,70300000000.0,3040000000.0
4471,ARE,GEO,2001,72700000000.0,3190000000.0
4536,ARE,GHA,1999,62600000000.0,4800000000.0
4537,ARE,GHA,2000,70300000000.0,4980000000.0
4538,ARE,GHA,2001,72700000000.0,5190000000.0
4601,ARE,GHA,1991,47600000000.0,3440000000.0
4605,ARE,GIN,1999,62600000000.0,3050000000.0
4606,ARE,GIN,2000,70300000000.0,3110000000.0
